City,Country,Year,WaterCoverage,SewerageCoverage
London,England,1830,88,
London,England,1870,100,100
London,England,1890,100,100
London,England,1910,100,100
London,England,1940,100,100
Chicago,USA,1870,100,
Chicago,USA,1910,,82
Berlin,Germany,1870,43,
Berlin,Germany,1890,90,
Berlin,Germany,1910,100,
Berlin,Germany,1940,,100
Helsinki,Finland,1870,0.5,
Helsinki,Finland,1890,26,
Helsinki,Finland,1910,61,32
Helsinki,Finland,1940,85,68
Sydney,Australia,1870,60,
Sydney,Australia,1890,80,
Sydney,Australia,1910,100,
Sydney,Australia,1940,,80
Calcutta,India,1870,14,
Calcutta,India,1910,50,37
Bogotá,Colombia,1910,30,
Bogotá,Colombia,1940,59,14
